*ERROR* 	2015/05/13 - 09:09:30: Can't save Order at line 340 in file classes/PaymentModule.php
*ERROR* 	2015/05/13 - 10:05:54: Can't save Order at line 340 in file classes/PaymentModule.php
*ERROR* 	2015/05/13 - 10:05:59: Can't save Order at line 340 in file classes/PaymentModule.php
*ERROR* 	2015/05/13 - 10:12:27: Can't save Order at line 340 in file classes/PaymentModule.php
*ERROR* 	2015/05/13 - 10:13:01: Can't save Order at line 340 in file classes/PaymentModule.php
*ERROR* 	2015/05/13 - 10:16:07: Can't save Order at line 341 in file classes/PaymentModule.php
*ERROR* 	2015/05/13 - 10:16:52: Can't save Order at line 340 in file classes/PaymentModule.php
*ERROR* 	2015/05/13 - 10:28:28: Can't save Order at line 342 in file classes/PaymentModule.php
*ERROR* 	2015/05/13 - 10:32:59: Can't save Order at line 342 in file classes/PaymentModule.php
*ERROR* 	2015/05/13 - 10:35:30: Can't save Order at line 341 in file classes/PaymentModule.php
*ERROR* 	2015/05/13 - 10:36:41: Can't save Order at line 341 in file classes/PaymentModule.php
*ERROR* 	2015/05/13 - 11:08:17: Can't save Order at line 341 in file classes/PaymentModule.php
*ERROR* 	2015/05/13 - 11:08:44: Can't save Order at line 341 in file classes/PaymentModule.php
*ERROR* 	2015/05/13 - 11:15:07: Can't save Order at line 341 in file classes/PaymentModule.php
*ERROR* 	2015/05/13 - 11:15:10: Can't save Order at line 341 in file classes/PaymentModule.php
*ERROR* 	2015/05/13 - 11:15:24: Property OrderDetail->id_order is empty at line 872 in file classes/ObjectModel.php
*ERROR* 	2015/05/13 - 11:15:52: Can't save Order at line 341 in file classes/PaymentModule.php
*ERROR* 	2015/05/13 - 11:16:05: Can't save Order at line 341 in file classes/PaymentModule.php
*ERROR* 	2015/05/13 - 11:16:19: Can't save Order at line 341 in file classes/PaymentModule.php
*ERROR* 	2015/05/13 - 11:16:33: Can't save Order at line 341 in file classes/PaymentModule.php
*ERROR* 	2015/05/13 - 11:17:11: Can't save Order at line 341 in file classes/PaymentModule.php
*ERROR* 	2015/05/13 - 11:17:24: Can't save Order at line 341 in file classes/PaymentModule.php
*ERROR* 	2015/05/13 - 11:17:40: Can't save Order at line 341 in file classes/PaymentModule.php
*ERROR* 	2015/05/13 - 11:17:53: Can't save Order at line 341 in file classes/PaymentModule.php
*ERROR* 	2015/05/13 - 11:18:01: Can't save Order at line 341 in file classes/PaymentModule.php
*ERROR* 	2015/05/13 - 11:18:08: Can't save Order at line 341 in file classes/PaymentModule.php
*ERROR* 	2015/05/13 - 11:20:47: Can't save Order at line 341 in file classes/PaymentModule.php
*ERROR* 	2015/05/13 - 11:21:34: Can't save Order at line 341 in file classes/PaymentModule.php
*ERROR* 	2015/05/13 - 11:22:19: Can't save Order at line 341 in file classes/PaymentModule.php
*ERROR* 	2015/05/13 - 11:23:11: Can't save Order at line 341 in file classes/PaymentModule.php
*ERROR* 	2015/05/13 - 11:25:37: Can't save Order at line 341 in file classes/PaymentModule.php
*ERROR* 	2015/05/13 - 11:27:47: Can't save Order at line 341 in file classes/PaymentModule.php
*ERROR* 	2015/05/13 - 11:29:11: Property Mail->date_add is empty at line 887 in file classes/ObjectModel.php
*ERROR* 	2015/05/13 - 11:36:16: Property Mail->date_add is empty at line 887 in file classes/ObjectModel.php
*ERROR* 	2015/05/13 - 15:06:18: Property Mail->date_add is empty at line 887 in file classes/ObjectModel.php
*ERROR* 	2015/05/13 - 15:55:23: Can't save Order at line 341 in file classes/PaymentModule.php
